team,season,games,wins,win_pct,margin_pg,pf_pg,pa_pg,conference
Alabama,2015,15,14,0.9333333333333333,19.933333333333334,35.06666666666667,15.133333333333333,SEC
Alabama,2016,15,14,0.9333333333333333,25.8,38.8,13.0,SEC
Alabama,2017,14,13,0.9285714285714286,25.142857142857142,37.07142857142857,11.928571428571429,SEC
Alabama,2018,15,14,0.9333333333333333,27.533333333333335,45.6,18.066666666666666,SEC
Alabama,2019,13,11,0.8461538461538461,28.615384615384617,47.23076923076923,18.615384615384617,SEC
Alabama,2021,15,13,0.8666666666666667,19.733333333333334,39.86666666666667,20.133333333333333,SEC
Alabama,2022,13,11,0.8461538461538461,22.923076923076923,41.07692307692308,18.153846153846153,SEC
Alabama,2023,14,12,0.8571428571428571,15.0,34.0,19.0,SEC
Alabama,2024,13,9,0.6923076923076923,16.384615384615383,33.76923076923077,17.384615384615383,SEC
Alabama,2025,15,11,0.7333333333333333,10.333333333333334,29.533333333333335,19.2,SEC
App State,2014,12,7,0.5833333333333334,8.333333333333334,35.666666666666664,27.333333333333332,SBC
App State,2015,13,11,0.8461538461538461,17.615384615384617,36.69230769230769,19.076923076923077,SBC
App State,2016,13,10,0.7692307692307693,11.384615384615385,29.23076923076923,17.846153846153847,SBC
App State,2017,13,9,0.6923076923076923,13.23076923076923,33.46153846153846,20.23076923076923,SBC
App State,2018,13,11,0.8461538461538461,21.846153846153847,37.30769230769231,15.461538461538462,SBC
App State,2019,14,13,0.9285714285714286,18.785714285714285,38.785714285714285,20.0,SBC
App State,2021,14,10,0.7142857142857143,12.357142857142858,34.5,22.142857142857142,SBC
App State,2022,12,6,0.5,8.166666666666666,34.916666666666664,26.75,SBC
App State,2023,14,9,0.6428571428571429,6.214285714285714,33.214285714285715,27.0,SBC
App State,2024,11,5,0.45454545454545453,-6.2727272727272725,26.636363636363637,32.90909090909091,SBC
App State,2025,13,5,0.38461538461538464,-5.615384615384615,24.153846153846153,29.76923076923077,Sun Belt
Arizona,2014,14,10,0.7142857142857143,6.285714285714286,34.5,28.214285714285715,PAC
